business_name,niche,city,contact_person,phone,instagram,email,source_url,notes
Aakash Institute - Kakadeo,coaching,Kanpur,,1800-102-2727,,,https://www.aakash.ac.in/,National toll-free line - pull local branch number from centre locator; branch pages are basic
Allen Career Institute - Kanpur Centre,coaching,Kanpur,,0744-2757575,@allen_career_institute (verify),,https://www.allen.ac.in/,HQ main line - ask for Kanpur centre; use centre locator for direct number
Physics Wallah Vidyapeeth - Kanpur,coaching,Kanpur,,,,,https://www.pw.live/,Verify Kanpur Vidyapeeth centre is active before outreach
Mahendras - Kanpur branch,coaching,Kanpur,,,,,https://www.mahendras.org/,Branch locator lists UP centres; local listings thin on web
Chandra Institute - Kakadeo,coaching,Kanpur,,,,,https://www.justdial.com/Kanpur,Long-standing local brand - search name on Justdial for listed phone
Dhyeya IAS - Lucknow centre,coaching,Lucknow,,,,,https://dhyeyaias.com/,UPSC-focused institute with Lucknow centre
Lakmé Salon - Kanpur outlet,salon-gym-spa,Kanpur,,,,,https://www.lakmesalon.in/,Franchise locator shows Kanpur outlets - branch phone on site
Green Trends Unisex Salon - Kanpur,salon-gym-spa,Kanpur,,,,,https://greentrends.in/,Verify Kanpur outlet on salon locator before outreach
VLCC Wellness Centre - Kanpur,salon-gym-spa,Kanpur,,,,,https://www.vlccwellness.com/,Skin services too - good crossover lead for review automation
Jawed Habib - Kanpur outlets,salon-gym-spa,Kanpur,,,,,https://www.justdial.com/Kanpur/Beauty-Parlours,Multiple franchise outlets - search brand name on Justdial for direct lines
Anytime Fitness - Kanpur club,salon-gym-spa,Kanpur,,,,,https://www.anytimefitness.in/,Verify Kanpur club; franchise model means local owner decides
Dr Batra's Positive Health Clinic - Kanpur,skin-hair-clinic,Kanpur,,,,,https://www.drbatras.com/,Hair/skin clinic chain - verify Kanpur centre; booking line on site
Eldeco - Kanpur projects,real-estate,Kanpur,,,,,https://www.justdial.com/Kanpur/Builders-Developers,Lucknow-HQ builder active in Kanpur - verify current projects
Ashadeep Group,real-estate,Kanpur,,,,,https://www.justdial.com/Kanpur/Builders-Developers,Kanpur-headquartered builder - verify project details on listing
Radisson Blu Kanpur,banquet,Kanpur,,,,,https://www.radissonhotels.com/,Hotel events/sales desk handles banquets - venue page lists contact route
Hotel Landmark - Kanpur,banquet,Kanpur,,,,,https://www.justdial.com/Kanpur/Banquet-Halls,Older local hotel likely has limited online presence - easy win
Clove Dental,skin-hair-clinic,Lucknow,,,,,https://www.clovedental.in/,Multi-city dental chain - locator may list Lucknow clinics
Shalimar Corp,real-estate,Lucknow,,,,,https://www.justdial.com/Lucknow/Builders-Developers,Upscale Lucknow developer
Rohtas Group (Rohtas Projects),real-estate,Lucknow,,,,,https://www.justdial.com/Lucknow/Builders-Developers,Established Lucknow developer
Clarks Avadh,banquet,Lucknow,,,,,https://www.clarkshotels.com/,Heritage hotel with banquet business
